year,month,day,species,any_repro
2022,4,20,saccharina_latissima,1
2022,4,20,nereocystis_luetkeana,0
2022,4,20,alaria_marginata,0
2022,4,20,costaria_costata,0
2022,5,19,saccharina_latissima,0
2022,5,19,nereocystis_luetkeana,1
2022,5,19,alaria_marginata,0
2022,5,19,costaria_costata,0
2022,6,15,saccharina_latissima,0
2022,6,15,nereocystis_luetkeana,0
2022,6,15,alaria_marginata,0
2022,6,15,costaria_costata,0
2022,7,14,saccharina_latissima,0
2022,7,14,nereocystis_luetkeana,1
2022,7,14,alaria_marginata,0
2022,7,14,costaria_costata,0
2022,8,25,saccharina_latissima,0
2022,8,25,nereocystis_luetkeana,0
2022,8,25,alaria_marginata,0
2022,8,25,costaria_costata,0
2022,9,23,saccharina_latissima,0
2022,9,23,nereocystis_luetkeana,1
2022,9,23,alaria_marginata,0
2022,9,23,costaria_costata,0
2022,10,13,saccharina_latissima,1
2022,10,13,nereocystis_luetkeana,0
2022,10,13,alaria_marginata,0
2022,10,13,costaria_costata,0
2022,10,27,saccharina_latissima,1
2022,10,27,nereocystis_luetkeana,0
2022,10,27,alaria_marginata,0
2022,10,27,costaria_costata,0
2022,12,25,saccharina_latissima,1
2022,12,25,nereocystis_luetkeana,0
2022,12,25,alaria_marginata,0
2022,12,25,costaria_costata,0
2023,1,21,saccharina_latissima,0
2023,1,21,nereocystis_luetkeana,0
2023,1,21,alaria_marginata,0
2023,1,21,costaria_costata,0
2023,2,18,saccharina_latissima,1
2023,2,18,nereocystis_luetkeana,0
2023,2,18,alaria_marginata,0
2023,2,18,costaria_costata,0
2023,3,18,saccharina_latissima,0
2023,3,18,nereocystis_luetkeana,0
2023,3,18,alaria_marginata,0
2023,3,18,costaria_costata,0
2023,4,10,saccharina_latissima,0
2023,4,10,nereocystis_luetkeana,0
2023,4,10,alaria_marginata,0
2023,4,10,costaria_costata,0
2023,5,8,saccharina_latissima,1
2023,5,8,nereocystis_luetkeana,1
2023,5,8,alaria_marginata,0
2023,5,8,costaria_costata,0
2023,6,6,saccharina_latissima,1
2023,6,6,nereocystis_luetkeana,1
2023,6,6,alaria_marginata,0
2023,6,6,costaria_costata,0
2023,7,4,saccharina_latissima,0
2023,7,4,nereocystis_luetkeana,1
2023,7,4,alaria_marginata,0
2023,7,4,costaria_costata,0
2023,8,1,saccharina_latissima,1
2023,8,1,nereocystis_luetkeana,1
2023,8,1,alaria_marginata,0
2023,8,1,costaria_costata,0
2023,9,1,saccharina_latissima,1
2023,9,1,nereocystis_luetkeana,0
2023,9,1,alaria_marginata,0
2023,9,1,costaria_costata,0
2023,10,20,saccharina_latissima,0
2023,10,20,nereocystis_luetkeana,0
2023,10,20,alaria_marginata,0
2023,10,20,costaria_costata,0
2023,11,17,saccharina_latissima,1
2023,11,17,nereocystis_luetkeana,0
2023,11,17,alaria_marginata,0
2023,11,17,costaria_costata,0
2023,12,12,saccharina_latissima,1
2023,12,12,nereocystis_luetkeana,0
2023,12,12,alaria_marginata,0
2023,12,12,costaria_costata,1
2024,1,22,saccharina_latissima,0
2024,1,22,nereocystis_luetkeana,0
2024,1,22,alaria_marginata,0
2024,1,22,costaria_costata,0
2024,2,9,saccharina_latissima,0
2024,2,9,nereocystis_luetkeana,0
2024,2,9,alaria_marginata,0
2024,2,9,costaria_costata,0
2024,2,19,saccharina_latissima,0
2024,2,19,nereocystis_luetkeana,0
2024,2,19,alaria_marginata,0
2024,2,19,costaria_costata,0
2024,3,13,alaria_marginata,0
2024,3,13,costaria_costata,0
2024,3,13,nereocystis_luetkeana,0
2024,3,13,saccharina_latissima,0
2024,3,16,alaria_marginata,0
2024,3,16,costaria_costata,0
2024,3,16,nereocystis_luetkeana,0
2024,3,16,saccharina_latissima,0
2024,4,12,alaria_marginata,0
2024,4,12,costaria_costata,1
2024,4,12,nereocystis_luetkeana,1
2024,4,12,saccharina_latissima,1
2024,5,11,alaria_marginata,0
2024,5,11,costaria_costata,0
2024,5,11,nereocystis_luetkeana,0
2024,5,11,saccharina_latissima,0
2024,6,21,alaria_marginata,0
2024,6,21,costaria_costata,0
2024,6,21,nereocystis_luetkeana,1
2024,6,21,saccharina_latissima,0
