Accession #,Genus,Qualifier,Species,Subspecies,Variety,Forma,Country,Province/State/Region,Location,Lat_Degree,Lat_Minutes,Lat_Seconds,Lat_Hemisphere,Long_Degree,Long_Minutes,Long_Seconds,Long_Hemisphere,UTM,Datum,Coordinate_Uncertainty,Depth,Date Collected,Habitat,Microhabitat,First Name,Middle Name/Initial,Last Name,Collector Number,Other Collectors,First Name,Middle Name/Initial,Last Name,Determination Date,Other Determiners,Field Notes,Previous Identification(s),Coralline,Reproductive Status,DNA Sequencing ,Research Annotation,Citations
A100591,Petalonia fascia,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2516,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100592,Polyneura latissima,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2517,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100593,Saccharina latissima,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2518,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100594,Neodilsea borealis,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2519,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100595,Nereocystis luetkeana,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2520,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100596,Smithora naiadum ,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Drift,,Siobhan ,,Schenk,PTM2521,,Varoon,,Supratya,2024 Aug 20,,Epiphytic on Zostera marina,,,,,,
A100597,Alaria marginata,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2522,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100598,Colpomenia peregrina ,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2523,,Varoon,,Supratya,2024 Aug 20,,Epiphytic on Cryptosiphonia woodii,,,,,,
A100599,Neoharaldiophyllum nottii,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Elliot,,Porcher,PTM2524,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
A100600,Sarcodiotheca gaudichaudii,,,,,,Canada,British Columbia,"Vancouver, Stanley Park, Girl in a wetsuit statue",49.3035,,,,-123.1257,,,,10U 490862 5461203,WGS84,,,2024 Aug 19,Intertidal cobble beach,,Siobhan ,,Schenk,PTM2525,,Varoon,,Supratya,2024 Aug 20,,,,,,,,
