Genus,Genus,Species,phylum
alaria,Alaria,marginata,brown
costaria,Costaria,costata,brown
desmarestia,Desmarestia,herbacea,brown
desmarestia,Desmarestia,ligulata,brown
desmarestia,Desmarestia,viridis,brown
elachista,Elachista,fucicola,brown
fucus,Fucus,distichus,brown
hincksia,Hincksia,ovata,brown
laminariales,Laminariales,juvenile,brown
melanosiphon,Melanosiphon,intestinalis,brown
nereocystis,Nereocystis,luetkeana,brown
petalonia,Petalonia,fascia,brown
saccharina,Saccharina,latissima,brown
sargassum,Sargassum,muticum,brown
scytosiphon,Scytosiphon,sp,brown
acrosiphonia,Acrosiphonia,arcta,green
acrosiphonia,Acrosiphonia,coalita,green
cladophora,Cladophora,microcladioides,green
cladophora,Cladophora,pygmaea,green
rhizoclonium,Rhizoclonium,tortuosum,green
rosenvingiella,Rosenvingiella,polyrhiza,green
ulothrix,Ulothrix,palusalsa,green
ulothrix,Ulothrix,speciosa,green
ulvoid,Ulvoid,sp,green
urospora,Urospora,penicilliformis,green
ahnfeltia,Ahnfeltia,fastigiata,red
antithamnionella,Antithamnionella,spirographidis,red
besa,Besa,leptophylla,red
bonnemaisonia,Bonnemaisonia,californica,red
callophyllis,Callophyllis,sp,red
campylaephora,Campylaephora,gardneri,red
caulacanthus,Caulacanthus,ustulatus,red
ceramothamnion,Ceramothamnion,pacificum,red
chondracanthus,Chondracanthus,exasperatus,red
constantinea,Constantinea,subulifera,red
crustose,Crustose,coralline,red
cryptosiphonia,Cryptosiphonia,woodii,red
cumathamnion,Cumathamnion,decipiens,red
gracilaria,Gracilaria,sp,red
grateloupia,Grateloupia,californica,red
hildenbrandia,Hildenbrandia,sp,red
hollenbergia,Hollenbergia,subulata,red
mastocarpus-crust,Mastocarpus-Crust,sp,red
mastocarpus-upright,Mastocarpus-Upright,sp,red
mazzaella,Mazzaella,splendens,red
neodilsea,Neodilsea,borealis,red
neoharaldiophyllum,Neoharaldiophyllum,nottii,red
odonthalia,Odonthalia,floccosa,red
pikea,Pikea,pinnata,red
polyneura,Polyneura,latissima,red
polysiphonia,Polysiphonia,sp,red
prionitis,Prionitis,sternbergii,red
pterothamnion,Pterothamnion,pectinatum,red
pterothamnion,Pterothamnion,sp,red
pyropia,Pyropia,sp,red
sarcodiotheca,Sarcodiotheca,gaudichaudii,red
savoiea,Savoiea,robusta,red
scagelia,Scagelia,pylaisaei,red
schizymenia,Schizymenia,pacifica,red
sparlingia,Sparlingia,pertusa,red
wildemania,Wildemania,sp,red
