transect_id,distance_from_seawall_m,standpole_height_m,time_PDT,year,month,day
2,0,,,,,
2,5,,,,,
2,10,,,,,
2,15,,,,,
2,20,,,,,
2,25,2.62,11:57,2023,8,1
2,30,2.47,11:55,2023,8,1
2,35,2.27,11:54,2023,8,1
2,40,1.88,11:52,2023,8,1
2,45,,,,,
2,50,,,,,
2,55,,,,,
2,60,,,,,
2,65,,,,,
2,70,,,,,
2,75,,,,,
2,80,,,,,
2,85,,,,,
2,90,,,,,
2,95,,,,,
2,100,,,,,
3,0,,,,,
3,5,,,,,
3,10,,,,,
3,15,,,,,
3,20,,,,,
3,25,,,,,
3,30,,,,,
3,35,,,,,
3,40,,,,,
3,45,,,,,
3,50,,,,,
3,55,,,,,
3,60,,,,,
3,65,,,,,
3,70,,,,,
3,75,1.85,11:26,2023,8,1
3,80,1.75,11:26,2023,8,1
3,85,1.72,11:24,2023,8,1
3,90,1.63,11:23,2023,8,1
3,95,,,,,
3,100,,,,,
4,0,,,,,
4,5,,,,,
4,10,,,,,
4,15,,,,,
4,20,,,,,
4,25,,,,,
4,30,,,,,
4,35,,,,,
4,40,,,,,
4,45,,,,,
4,50,,,,,
4,55,,,,,
4,60,1.93,11:41,2023,8,1
4,65,1.88,11:39,2023,8,1
4,70,1.75,11:38,2023,8,1
4,75,1.72,11:37,2023,8,1
4,80,1.58,11:36,2023,8,1
4,85,,,,,
4,90,,,,,
4,95,,,,,
4,100,,,,,
